code_uic;ville;villegare;region;departement;lat;lng
87590828;Sucé-sur-Erdre;SUCE GARE;REGION PAYS DE LA LOIRE;Loire-Atlantique;47.3431347;-1.5299873
87481457;Cugand;CUGAND LA BERNARDIERE GARE;REGION PAYS DE LA LOIRE;Vendée;47.0582602;-1.253301
87481424;Le Pallet;LE PALLET GARE;REGION PAYS DE LA LOIRE;Loire-Atlantique;47.143831;-1.346898
87481416;La Haie-Fouassière;LA HAIE FOUASSIERE GARE;REGION PAYS DE LA LOIRE;Loire-Atlantique;47.1615899;-1.392195
87481408;Vertou;VERTOU GARE;REGION PAYS DE LA LOIRE;Loire-Atlantique;47.1861428;-1.4780052
87481366;Machecoul;MACHECOUL GARE;REGION PAYS DE LA LOIRE;Loire-Atlantique;46.9905038;-1.8227524
87481234;Saint-Hilaire-de-Chaléons;SAINT HILAIRE DE CHALEONS GARE;REGION PAYS DE LA LOIRE;Loire-Atlantique;47.1057704;-1.8650604
87481226;Sainte-Pazanne;SAINTE PAZANNE GARE;REGION PAYS DE LA LOIRE;Loire-Atlantique;47.1055419;-1.8138744
87481168;Le Cellier;LE CELLIER GARE;REGION PAYS DE LA LOIRE;Loire-Atlantique;47.3135164;-1.3506694
87481150;Mauves-sur-Loire;MAUVES SUR LOIRE GARE;REGION PAYS DE LA LOIRE;Loire-Atlantique;47.2930211;-1.3893042
87478750;Port-Brillet;PORT BRILLET GARE;REGION PAYS DE LA LOIRE;Mayenne;48.1106724;-0.9740682
87478552;Évron;EVRON GARE;REGION PAYS DE LA LOIRE;Mayenne;48.155501;-0.397338
87478065;Bonnemain;BONNEMAIN GARE;REGION BRETAGNE;Ille-et-Vilaine;48.4764049;-1.7654125
87478024;Saint-Médard-sur-Ille;SAINT MEDARD SUR ILLE GARE;REGION BRETAGNE;Ille-et-Vilaine;48.2742219;-1.6674886
87476754;Sévérac;SEVERAC GARE;REGION PAYS DE LA LOIRE;Loire-Atlantique;47.5498647;-2.072707
87476671;Questembert;QUESTEMBERT GARE;REGION BRETAGNE;Morbihan;47.6831803;-2.4496002
87476648;Sainte-Anne;SAINTE ANNE GARE;REGION BRETAGNE;Morbihan;47.6785805;-2.96048
87476432;Kerhostin;KERHOSTIN GARE;REGION BRETAGNE;Morbihan;47.5369524;-3.1363795
87476408;Belz - Ploemel;BELZ PLOEMEL GARE;REGION BRETAGNE;Morbihan;47.652466;-3.0721919
87476309;Gestel;GESTEL GARE;REGION BRETAGNE;Morbihan;47.8029905;-3.4431341
87476275;L'Isthme;;REGION BRETAGNE;Morbihan;47.5465051;-3.133699
87474312;Saint-Thégonnec;SAINT THEGONNEC GARE;REGION BRETAGNE;Finistère;48.4942082;-3.9483116
87474221;La Forest-Landerneau;LA FOREST GARE;REGION BRETAGNE;Finistère;48.4263093;-4.3074515
87474098;Quimper;QUIMPER GARE;REGION BRETAGNE;Finistère;47.994455;-4.092103
87474064;Châteaulin;CHATEAULIN EMBRANCHEMENT GARE;REGION BRETAGNE;Finistère;48.2016033;-4.094308
87474056;Pont-de-Buis;PONT DE BUIS GARE;REGION BRETAGNE;Finistère;48.2544024;-4.0861227
87474007;Brest;BREST GARE;REGION BRETAGNE;Finistère;48.388110;-4.478903
87473546;Callac;CALLAC GARE;REGION BRETAGNE;Côtes-d'Armor;48.4062201;-3.419782
87473165;Belle-Isle - Bégard;BELLE ISLE BEGARD GARE;REGION BRETAGNE;Côtes-d'Armor;48.5935901;-3.3228532
87472639;Mulhouse Zu Rhein;;REGION ALSACE;Haut-Rhin;47.7434965;7.3170514
87471185;Messac - Guipry;MESSAC GARE;REGION BRETAGNE;Ille-et-Vilaine;47.82225;-1.81822
87471144;Laillé;LAILLE GARE;REGION BRETAGNE;Ille-et-Vilaine;47.9717527;-1.7495654
87471060;L'Hermitage - Mordelles;L HERMITAGE MORDELLES GARE;REGION BRETAGNE;Ille-et-Vilaine;48.123142;-1.8192987
87471052;Saint-Jacques-de-la-Lande;SAINT JACQUES DE LA LANDE GARE;REGION BRETAGNE;Ille-et-Vilaine;48.0670983;-1.7142367
87471029;Vern-sur-Seiche;VERN GARE;REGION BRETAGNE;Ille-et-Vilaine;48.0469707;-1.5966524
87462085;Chamonix Aiguille du Midi;;REGION ALPES;Haute-Savoie;45.91993;6.8667152
87447219;Lison;LISON P GARE;REGION NORMANDIE;Calvados;49.226834;-1.050339
87446179;Saint-Cyprien Arènes;TOULOUSE ST CYPRIEN GARE;REGION MIDI PYRENEES;Haute-Garonne;43.593438;1.417986
87444620;Rai - Aube;;;Orne;48.7437153;0.5536992
87444604;Sainte-Gauburge;SAINTE GAUBURGE GARE;REGION NORMANDIE;Orne;48.7172632;0.4281082
87444570;Nonant-le-Pin;;;Orne;48.7037802;0.2194656
87444406;Houlgate;HOULGATE GARE;REGION NORMANDIE;Calvados;49.3000711;-0.0772276
87444372;Trouville - Deauville;TROUVILLE DEAUVILLE GARE;REGION NORMANDIE;Calvados;49.360005;0.084167
87444349;Pont-l'Évêque;PONT L EVEQUE GARE;REGION NORMANDIE;Calvados;49.2870379;0.1921947
87444265;Lisieux;LISIEUX GARE;REGION NORMANDIE;Calvados;49.138299;0.231143
87444216;Saint-Pierre-sur-Dives;SAINT PIERRE SUR DIVES GARE;REGION NORMANDIE;Calvados;49.0231057;-0.0405855
87415893;Bonnières-sur-Seine;BONNIERES GARE;REGION DE PARIS SAINT-LAZARE;Yvelines;49.038788;1.582205
87415646;Saint-Pierre-du-Vauvray;SAINT PIERRE DU VAUVRAY P GARE;REGION NORMANDIE;Eure;49.2339135;1.2248947
87415620;Gaillon - Aubevoye;GAILLON AUBEVOYE P GARE;REGION NORMANDIE;Eure;49.174626;1.352461
